1,1,0,1,0,2704,170,3,9201,3,1
1,1,0,1,0,2057,188,2,21695,3,1
0,5,0,1,0,3176,192,4,1055,0,1
1,5,1,1,1,2386,187,3,8318,3,1
1,1,1,1,0,421,95,4,16297,3,1
1,1,3,1,0,1049,179,2,14418,3,1
1,2,0,1,0,2186,185,4,23768,3,1
1,1,3,1,0,51,83,1,15017,3,1
1,1,3,1,0,6859,188,2,3419,3,1
1,1,3,0,0,4408,168,1,17762,3,1
1,3,0,1,0,823,185,2,4812,3,1
1,1,0,0,0,983,32,2,7112,3,1
1,3,3,1,0,479,60,1,24011,3,0
1,1,0,0,0,4332,184,3,23979,3,1
1,1,3,1,0,5508,184,3,2499,3,1
1,1,0,1,0,1263,166,4,15678,3,0
1,1,2,1,0,754,176,2,6199,3,1
1,1,0,0,1,589,120,1,23527,3,1
1,1,3,0,0,517,186,2,7,0,1
0,1,3,0,0,3358,179,4,15899,3,0
1,1,3,1,0,2888,88,1,6108,3,1
1,1,3,0,0,3641,187,3,8689,3,1
1,0,3,0,0,2018,174,3,13266,3,0
1,1,3,0,0,1996,192,3,15782,3,1
0,3,0,1,0,4889,193,3,8185,3,1
1,1,1,0,0,4846,150,3,13534,3,0
1,1,2,1,0,445,191,3,9668,3,1
1,1,3,0,1,836,188,4,16969,3,1
0,1,0,0,0,3795,182,3,12510,3,1
1,1,3,1,0,882,138,2,21927,3,1
1,1,3,1,0,3883,29,2,6295,3,1
1,1,0,0,1,1207,174,2,9927,3,1
1,3,3,1,0,4523,169,3,7364,3,1
1,3,3,1,0,2503,192,4,11966,3,0
1,1,3,1,0,2554,182,3,23958,3,0
0,1,0,1,0,2869,180,3,1779,0,1
0,3,0,0,0,2093,81,3,9617,3,1
1,1,1,0,1,2619,188,3,21984,3,1
0,1,0,1,0,2640,154,2,5343,3,1
1,3,2,1,0,4276,189,2,2764,3,1
1,1,0,1,0,194,72,1,20952,3,1
1,1,3,0,0,3416,193,1,21873,3,1
1,1,3,1,0,1650,165,1,20002,3,1
1,3,3,1,0,1825,182,3,13646,3,0
1,3,3,1,0,477,192,3,15801,3,1
0,1,0,1,0,3201,187,3,19938,3,1
1,1,1,0,0,410,180,2,550,0,1
1,1,3,1,0,365,145,2,2896,3,1
1,1,0,0,0,234,151,3,23176,3,1
0,1,0,0,0,4334,180,2,8,0,1
1,1,1,1,0,2297,162,2,5390,3,1
0,1,0,1,0,317,95,1,1570,0,1
1,1,3,1,1,1248,133,3,24873,3,1
1,1,1,1,0,3620,58,3,14770,3,1
1,1,3,0,0,1590,0,1,13262,3,1
1,2,3,0,0,3885,173,2,18482,3,1
1,2,2,0,0,2722,183,4,5138,3,1
1,1,3,1,0,1093,190,1,9276,3,1
0,1,3,0,0,2234,181,3,576,0,1
1,1,0,1,0,2063,175,3,25264,3,1
0,1,3,1,0,1198,192,4,2835,3,1
1,2,3,1,0,497,183,4,6219,3,1
1,1,3,1,0,1179,57,1,23120,3,1
0,1,0,0,0,940,21,2,11988,3,0
1,2,3,1,0,242,184,2,12026,3,1
1,1,0,1,0,5706,186,3,13739,2,1
0,1,3,0,0,1557,178,4,23183,3,0
1,1,2,1,0,5353,156,2,10635,3,1
0,1,0,0,0,3616,157,4,24537,3,1
0,3,3,1,0,2652,190,2,18936,3,1
0,1,0,1,0,3684,192,4,18444,3,1
1,1,0,1,0,4133,191,3,17522,3,1
1,2,0,0,0,5535,193,1,7782,3,1
1,1,0,1,0,2026,176,4,5652,3,1
1,2,3,0,0,6574,187,2,14281,3,1
0,1,0,1,0,855,182,3,16028,3,1
0,1,0,0,0,2921,192,3,3267,3,0
1,5,0,1,1,2239,181,1,18367,3,1
1,1,3,0,0,1889,167,3,13360,3,1
1,1,0,1,0,878,178,3,23964,3,1
1,1,0,1,0,502,182,2,20437,3,1
0,1,0,1,0,820,185,3,8381,3,1
1,2,1,0,0,1165,177,2,21263,3,1
0,1,3,0,1,2068,110,3,23400,3,1
0,5,0,0,0,2653,159,2,81,0,1
1,3,0,0,0,2519,168,4,709,0,1
1,1,3,1,0,1738,186,2,10359,3,1
0,1,3,1,0,2780,180,2,11351,3,1
1,1,2,1,0,2307,128,2,7226,3,1
1,2,3,1,0,1034,183,3,17951,3,0
0,3,0,0,0,2327,181,4,17160,3,1
1,1,0,0,0,2184,181,1,22277,3,0
0,1,3,0,0,1552,175,4,12127,3,1
1,2,2,1,0,2988,129,4,10062,3,1
0,1,0,0,0,73,187,1,15743,3,1
1,4,3,1,0,3124,168,1,18987,3,1
0,2,0,0,0,1033,191,3,2095,0,1
1,3,3,1,1,6293,190,3,24498,3,1
1,1,0,1,1,2537,187,4,13343,3,1
1,3,2,1,0,1789,182,3,1190,0,1
1,1,3,0,0,341,180,1,22571,3,1
1,1,2,0,0,3382,184,3,139,0,1
1,3,3,1,0,4949,173,4,3943,3,0
1,1,3,1,0,1197,195,2,20244,3,1
1,1,3,1,0,1232,195,2,20919,3,1
0,5,0,0,0,2731,182,2,327,0,0
0,1,2,1,0,6754,182,3,4821,3,1
0,1,3,0,0,4699,191,1,9414,3,0
0,2,0,0,0,1077,196,2,6542,3,1
1,2,3,0,0,4040,192,2,9832,3,0
0,1,2,0,0,5545,180,1,14676,3,1
1,1,0,1,0,1046,190,1,21074,3,0
1,1,3,1,0,1945,178,1,304,0,1
0,0,0,1,0,897,180,2,11080,3,1
1,1,2,1,1,3075,183,4,20724,3,1
0,1,2,1,0,5131,190,2,4241,3,1
0,1,0,1,0,1175,181,2,15621,3,1
0,1,3,0,0,156,168,2,104,0,1
1,2,3,1,0,3655,174,4,13022,3,1
1,3,2,1,0,2513,189,2,4769,3,1
0,1,1,0,0,374,192,2,2652,3,1
1,1,3,0,0,473,185,1,11818,3,1
1,1,0,1,0,642,172,1,12431,3,1
1,1,0,0,1,281,21,3,24383,3,1
0,2,2,0,1,1677,169,2,16591,3,1
1,1,3,1,0,1525,192,4,17502,3,1
0,3,2,1,1,294,10,4,13082,3,1
1,3,0,0,0,3348,187,2,235,0,1
1,1,3,1,0,2869,189,2,14276,3,1
1,1,3,1,0,3838,191,2,7169,3,0
1,1,0,1,0,3989,183,1,6691,3,1
1,1,0,1,0,3694,74,2,18348,3,1
0,3,3,0,0,1613,96,2,20709,3,0
